iter	RMSE
0	2878.214138
1	2651.100164
2	2441.644454
3	2241.427443
4	2064.42702
5	1900.799725
6	1747.352176
7	1611.668996
8	1481.968968
9	1370.988914
10	1269.82077
11	1180.214983
12	1088.762225
13	1009.14462
14	932.1082954
15	867.6238409
16	804.1063795
17	747.245538
18	693.8184847
19	644.1306932
20	599.8240731
21	560.4803744
22	524.0191253
23	489.3527058
24	457.8089924
25	429.8622236
26	404.3607408
27	380.0823344
28	356.4988484
29	334.9215072
30	314.2307435
31	295.8351529
32	279.4512627
33	263.6587584
34	249.7040068
35	236.7785544
36	226.3709041
37	215.3402226
38	205.9844928
39	197.1463671
40	188.8817269
41	181.4729179
42	174.775339
43	168.775476
44	163.3931249
45	158.7809088
46	154.4669142
47	150.3101304
48	146.5853419
49	142.9234948
50	139.8563766
51	137.5339242
52	134.8844317
53	132.1426834
54	130.0249594
55	127.9708492
56	126.0872788
57	123.4972137
58	122.0392411
59	119.9645744
60	118.6643645
61	117.6303831
62	115.8859681
63	113.9113953
64	113.0270731
65	111.2117175
66	110.05816
67	108.5597276
68	107.4190508
69	106.2863454
70	104.5639158
71	103.9956852
72	102.9910362
73	102.3195927
74	101.2604462
75	100.5710141
76	100.1374072
77	99.24526238
78	98.42400168
79	97.7407592
80	96.91684664
81	96.07037304
82	95.34578446
83	94.55936149
84	93.5247215
85	92.62210841
86	91.67225551
87	91.12497394
88	90.24980424
89	89.4599543
90	88.86176404
91	88.04598312
92	87.5665443
93	87.00615738
94	86.41457937
95	85.9358029
96	85.0614816
97	84.14426835
98	83.65700676
99	82.94205515
100	82.07637516
101	81.24495273
102	80.44825142
103	79.92280629
104	79.22597779
105	78.77350478
106	78.13619757
107	77.7008413
108	77.02630746
109	76.50810162
110	76.07881307
111	75.58329083
112	75.14682444
113	74.68239515
114	74.15630691
115	73.78811962
116	73.37923618
117	72.89557181
118	72.57923628
119	72.21040262
120	71.81223852
121	71.45527484
122	71.05748315
123	70.71888049
124	70.33451895
125	69.94479894
126	69.50038265
127	69.20569903
128	68.93480738
129	68.51956781
130	68.1323619
131	67.87817126
132	67.61385767
133	67.33941212
134	66.85816556
135	66.47311061
136	66.06781215
137	65.68662085
138	65.44813605
139	65.1184696
140	64.76900135
141	64.48094003
142	64.2433802
143	64.08858884
144	63.83706469
145	63.54662065
146	63.36110834
147	63.20254782
148	62.95875291
149	62.68287335
150	62.33347371
151	62.05201772
152	61.88823499
153	61.73833775
154	61.46025406
155	61.2608913
156	60.7465769
157	60.48624186
158	60.29124811
159	60.03191161
160	59.76216453
161	59.52217408
162	59.36185139
163	59.1346626
164	58.93728323
165	58.67009169
166	58.38976011
167	58.18674113
168	57.98071649
169	57.79862038
170	57.59463745
171	57.40381181
172	57.25344307
173	57.06434396
174	56.79784948
175	56.61778956
176	56.43143318
177	56.21344221
178	56.08080675
179	55.94437692
180	55.80890892
181	55.6600877
182	55.42785387
183	55.20616732
184	54.97718905
185	54.82410026
186	54.60863389
187	54.43542941
188	54.33102183
189	54.17597666
190	54.02771748
191	53.80380565
192	53.63586505
193	53.53596755
194	53.36000843
195	53.20664374
196	53.112849
197	52.99064368
198	52.83044327
199	52.58611214
