iter	Passed	Remaining
0	2	460
1	4	419
2	6	418
3	8	408
4	10	396
5	12	395
6	14	388
7	15	380
8	17	373
9	19	366
10	21	361
11	22	356
12	24	353
13	26	352
14	28	348
15	29	344
16	31	343
17	33	340
18	35	337
19	37	334
20	38	332
21	40	329
22	42	326
23	44	324
24	46	322
25	47	320
26	49	318
27	51	315
28	53	313
29	54	311
30	56	310
31	58	308
32	60	306
33	62	304
34	64	302
35	65	300
36	67	298
37	69	296
38	71	294
39	73	292
40	74	290
41	76	288
42	78	286
43	80	284
44	81	281
45	83	280
46	85	278
47	87	276
48	89	274
49	90	272
50	92	270
51	94	268
52	96	266
53	98	266
54	100	265
55	102	263
56	104	262
57	106	260
58	108	258
59	110	257
60	111	255
61	113	253
62	115	251
63	117	249
64	119	247
65	121	245
66	122	243
67	124	241
68	126	239
69	128	238
70	130	237
71	132	235
72	134	233
73	136	231
74	138	230
75	139	228
76	143	229
77	145	227
78	147	225
79	149	224
80	151	221
81	152	220
82	154	218
83	156	216
84	158	214
85	160	212
86	162	210
87	164	208
88	165	206
89	167	204
90	169	202
91	171	201
92	186	214
93	188	212
94	190	210
95	192	208
96	194	207
97	196	204
98	198	202
99	200	200
100	202	198
101	204	196
102	206	194
103	208	192
104	210	190
105	212	188
106	213	185
107	215	183
108	217	181
109	219	179
110	221	177
111	222	175
112	224	173
113	226	171
114	228	168
115	230	166
116	232	164
117	234	162
118	236	160
119	238	158
120	239	156
121	241	154
122	243	152
123	245	150
124	246	148
125	248	146
126	250	144
127	252	141
128	254	139
129	255	137
130	257	135
131	259	133
132	261	131
133	263	129
134	264	127
135	266	125
136	268	123
137	270	121
138	271	119
139	273	117
140	275	115
141	277	113
142	279	111
143	280	109
144	282	107
145	284	105
146	286	103
147	287	101
148	290	99
149	292	97
150	293	95
151	295	93
152	297	91
153	299	89
154	301	87
155	303	85
156	305	83
157	306	81
158	308	79
159	310	77
160	312	75
161	314	73
162	315	71
163	317	69
164	319	67
165	321	65
166	323	63
167	325	61
168	326	59
169	328	58
170	330	56
171	332	54
172	334	52
173	336	50
174	337	48
175	339	46
176	341	44
177	343	42
178	345	40
179	346	38
180	348	36
181	350	34
182	352	32
183	354	30
184	355	28
185	357	26
186	359	24
187	361	23
188	363	21
189	365	19
190	367	17
191	368	15
192	370	13
193	372	11
194	374	9
195	376	7
196	378	5
197	380	3
198	382	1
199	385	0
